team_id,team_name
342,Khulna Royal Bengals
343,Duronto Rajshahi
344,Dhaka Gladiators
345,Sylhet Royals
346,Trinidad & Tobago Red Steel
347,Antigua Hawksbills
348,Sylhet Super Stars
349,Rising Pune Supergiants
350,Trinidad and Tobago
351,Guyana
352,Leeward Islands
353,Jamaica
354,Windward Islands
355,Zambia
356,ICC World XI
357,KwaZulu-Natal Inland
358,Asia XI
