event_name_id,event_name
187,Australia tour of United Arab Emirates
188,New Zealand tour of United Arab Emirates
189,ICC World Twenty20 Americas Sub Regional Qualifier A
190,India Women tour of Sri Lanka
191,West Indies tour of India
192,England tour of West Indies
193,Botswana Cricket Association Women's T20I Series
194,ICC World Twenty20 Asia Region Qualifier B
195,England tour of Ireland
196,Australia Women v Pakistan Women T20I Series
197,Mzansi Super League
198,ICC World Twenty20 Africa Region Qualifier C
199,ICC World Twenty20 East Asia-Pacific Region Qualifier B
200,West Indies Women tour of England and Ireland
201,Australia Women tour of England
202,Sri Lanka Women tour of South Africa
203,Sri Lanka in South Africa ODI Series
204,Zimbabwe tour of Netherlands and Ireland
205,Ireland v Zimbabwe
206,Sri Lanka tour of England and Scotland
207,Nepal tour of United Arab Emirates
208,Pakistan vs West Indies ODI Series
209,West Indies Women tour of Pakistan and United Arab Emirates
210,Oman Quadrangular T20I Series
211,ICC Women's T20 World Cup Asia Region Qualifier
212,England Women tour of Sri Lanka
213,ICC World Twenty20 East Asia-Pacific Region Final
214,Pakistan Women tour of South Africa
215,United States of America tour of United Arab Emirates
216,Germany tour of Netherlands
217,Botswana Women tour of Namibia
218,United Arab Emirates tour of Zimbabwe
219,Women's T20 Challenge
220,ICC Women's T20 World Cup Africa Region Qualifier
221,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
222,Sri Lanka Women tour of Australia
223,Pakistan tour of Australia
224,Trans-Tasman Trophy
225,New Zealand tour of Australia
226,Australia Tri-Nation Women's T20 Series
227,ICC Women's T20 World Cup Americas Region Qualifier
228,ICC Men's T20 World Cup Africa Region Final
229,ICC Men's T20 World Cup Europe Region Final
230,England tour of South Africa
231,Malaysia Tri-Nation T20I Series
232,South Africa tour of India
233,South Africa in India Test Series
234,Bangladesh tour of India
235,Bangladesh in India Test Series
236,England tour of New Zealand
237,England in New Zealand Test Series
238,India in New Zealand Test Series
239,South Africa Women in New Zealand ODI Series
240,South Africa Women tour of New Zealand
241,India tour of United States of America and West Indies
242,Kwibuka Women's Twenty20 Tournament
243,ICC Women's T20 World Cup Europe Region Qualifier
244,Women's T20I Quadrangular Series (in Netherlands)
245,ICC Men's T20 World Cup Asia Region Final
246,United Arab Emirates tour of Netherlands
247,Nepal tour of Malaysia
248,New Zealand in Sri Lanka Test Series
249,New Zealand tour of Sri Lanka
250,Bangladesh tour of Sri Lanka
251,Nigeria Women tour of Rwanda
252,Marsh Sheffield Shield
253,ICC Men's Cricket World Cup League 2
254,ICC Women's T20 World Cup Qualifier
255,Bangladesh Twenty20 Tri-Series
256,Women's Twenty20 East Asia Cup
257,ICC Men's T20 World Cup Americas Region Final
258,Botswana tour of Namibia
259,Oman Pentangular T20I Series
260,New Zealand Cricket Women's Twenty20
261,Australia Women tour of West Indies
262,South Africa Women tour of India
263,Sri Lanka tour of Pakistan
264,ICC Men's T20 World Cup Qualifier
265,Ireland Tri-Nation T20I Series
266,CWC Challenge League
267,Iberia Cup
268,Singapore Twenty20 Tri-Series
269,Vanuatu tour of Malaysia
270,India Women in West Indies
271,India Women tour of West Indies
272,Ireland tour of West Indies
273,Bangladesh Women tour of Pakistan
274,Sri Lanka in Pakistan Test Series
275,Germany tour of Spain
276,England Women ODI tour of Malaysia
277,England Women tour of Malaysia
278,South Asian Games Men's Cricket Competition
279,South Asian Games Women's Cricket Competition
280,Sri Lanka tour of Zimbabwe
281,Bangladesh tour of Pakistan
282,Bangladesh in Pakistan Test Series
283,West Indies tour of Sri Lanka
284,Germany Women tour of Oman
285,Hong Kong tour of Malaysia
286,ACC Western Region T20
287,ACC Eastern Region T20
288,Bob Willis Trophy
289,Germany Women tour of Austria
290,Rachael Heyhoe Flint Trophy
291,Luxembourg Twenty20 Tri-Series
292,Isle of Man tour of Guernsey
293,West Indies Women tour of England
294,Zimbabwe tour of Pakistan
295,Australia tour of New Zealand
296,Balkan Cup
297,Lanka Premier League
298,Sri Lanka tour of England
299,India tour of England
300,South Africa tour of Pakistan
301,England tour of India
302,India v England
303,ICC Men's Cricket World Cup Super League
304,County Championship
305,Ireland tour of United Arab Emirates
306,New Zealand tour of England
307,England Women tour of New Zealand
308,Australia Women tour of New Zealand
309,Pakistan Women tour of Zimbabwe
310,ICC World Test Championship
311,South Africa tour of Ireland
312,Ireland tour of Netherlands
313,West Indies v Sri Lanka
314,Charlotte Edwards Cup
315,The Hundred Men's Competition
316,The Hundred Women's Competition
317,India Women v South Africa Women
318,Sri Lanka v Bangladesh
319,Uganda tour of Namibia
320,Nepal Tri-Nation T20I Series
321,Scotland tour of Netherlands
322,India Women tour of England
323,New Zealand Women tour of England
324,Scotland Women tour of Ireland
325,South Africa tour of West Indies
326,Australia tour of West Indies
327,Pakistan tour of West Indies
328,India Women tour of Australia
329,Central Europe Cup
330,Sofia Twenty20
331,Pakistan Women tour of West Indies
332,Bangladesh tour of Zimbabwe
333,Belgium tour of Malta
334,France Women tour of Germany
335,Netherlands Women tour of Ireland
336,Germany T20 Tri-Series
337,New Zealand tour of Bangladesh
338,Zimbabwe tour of Ireland and Scotland
339,Thailand Women tour of Zimbabwe
340,Sweden tour of Denmark
341,Portugal T20 Tri-Series
342,Ghana tour of Rwanda
343,Sweden tour of Finland
344,ICC Men's T20 World Cup
345,Uganda T20 Tri-Series
346,Norway Women tour of Sweden
347,Continental Cup
348,Papua New Guinea v United States of America ODI Series
349,Nepal v Papua New Guinea ODI Series
350,Netherlands tour of South Africa
351,Ireland tour of United States of America and West Indies
352,West Indies Women tour of South Africa
353,Pakistan tour of Bangladesh
354,Estonia tour of Cyprus
355,Cyprus T20 Tri-Series
356,Namibia v Scotland T20I Match
357,Namibia v Papua New Guinea T20I Match
358,Papua New Guinea v Scotland T20I Match
359,Ireland Women tour of Zimbabwe
360,England tour of Netherlands
361,Valletta Cup
362,ICC Men's T20 World Cup Europe Region Qualifier
363,ICC Men's T20 World Cup Sub Regional Africa Qualifier Group A & B
364,ICC Men's T20 World Cup Sub Regional Africa Qualifier
365,Sierra Leone tour of Nigeria
366,ICC Men's T20 World Cup Asia A Qualifier
367,ICC Men's T20 World Cup Americas Region Qualifier
368,ICC Women's Cricket World Cup Qualifier
369,West Indies Women tour of Pakistan
370,Australia tour of Pakistan
371,Bangladesh Women in Zimbabwe ODI Series
372,South Africa tour of New Zealand
373,Netherlands tour of New Zealand
374,ICC Men's T20 World Cup Africa Region Qualifier
375,Commonwealth Games Women's Cricket Competition
376,Nepal Women tour of Qatar
377,Women's Super Smash
378,Commonwealth Games Women's Cricket Competition Qualifiers
379,Bangladesh Women tour of Malaysia
380,Scotland Women tour of Malaysia
381,Kenya Women tour of Malaysia
382,Sri Lanka Women tour of Malaysia
383,ICC Men’s T20 World Cup Qualifier A
384,ICC Men's T20 World Cup Qualifier A
385,South Africa Women tour of England
386,West Indies tour of Netherlands
387,India tour of Ireland
388,New Zealand tour of Ireland
389,Papua New Guinea tour of Nepal
390,GCC Women's Twenty20 Championship Cup
391,Australia tour of Sri Lanka
392,New Zealand tour of Scotland
393,Ireland Women tour of Pakistan
394,Spain Triangular T20I Series
395,Finland tour of Denmark
396,Inter-Insular T20 Series
397,Capricorn Women's Tri-Series
398,New Zealand tour of Netherlands
399,Namibia tour of Zimbabwe
400,Sri Lanka Women tour of Pakistan
401,Pakistan tour of Netherlands
402,Hong Kong Women tour of United Arab Emirates
403,FairBreak Invitational Tournament
404,Uganda Women tour of Nepal
405,South Africa Women tour of Ireland
406,Bangladesh tour of West Indies
407,Zimbabwe tour of Australia
408,West Indies tour of Australia
409,England tour of Australia
410,Ireland Tri-Nation Women's T20I Series
411,India tour of West Indies
412,New Zealand tour of West Indies
413,Asian Cricket Council Women's T20 Championship
414,Pakistan tour of Sri Lanka
415,ICC Men's T20 World Cup Sub Regional Europe Qualifier Group C
416,Inter-Insular Women's Twenty20 Series
417,ICC Men's T20 World Cup Sub Regional Europe Qualifier
418,Malaysia tour of Singapore
419,Namibia Women tour of Netherlands
420,Quadrangular Twenty20 Series (Malaysia)
421,Papua New Guinea tour of Singapore
422,New Zealand T20I Tri-Series
423,Bangladesh Women tour of New Zealand
424,Women's Caribbean Premier League
425,Bulgaria tour of Serbia
426,India tour of Zimbabwe
427,England tour of Pakistan
428,Bahrain tour of Oman
429,Nepal tour of Kenya
430,Ireland Women tour of Netherlands
431,Men's T20 Asia Cup Qualifier
432,Women's T20I Quadrangular Series (in UAE)
433,Ireland Women tour of Scotland
434,Africa Cricket Association Cup
435,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier A
436,Indonesia tour of Japan
437,New Zealand Women tour of West Indies
438,Women's Asia Cup
439,Bangladesh tour of United Arab Emirates
440,Sri Lanka Women tour of England
441,ICC Men's T20 World Cup East Asia-Pacific Region Qualifier B
442,Women's East Asia Cup
443,Women's T20 Pentangular Series (in Spain)
444,West Indies tour of South Africa
445,New Zealand tour of Pakistan
446,India tour of Bangladesh
447,United Arab Emirates tour of Nepal
448,England Women tour of West Indies
449,SA20
450,Netherlands Women tour of Thailand
451,South Africa Women's T20I Tri-Series
452,Desert Cup T20I Series
453,Pakistan Women tour of Australia
454,Australia Women tour of India
455,Kenya Quadrangular Women's T20 Series
456,International League T20
457,One-Day Cup
458,Ireland tour of Zimbabwe
459,Tri-Nation T20 Cup (Rwanda)
460,England tour of Bangladesh
461,Isle of Man tour of Spain
462,Ireland tour of Bangladesh
463,Singapore Women tour of Cambodia
464,Women's Premier League
465,Bermuda tour of Argentina
466,Quadrangular Twenty20 Series (Hong Kong)
467,Netherlands tour of Zimbabwe
468,Ireland tour of Sri Lanka
